Sentence #,Word,POS,Tag
Sentence: 1,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,a,DT,O
,landscape,NN,O
,created,VBN,O
,by,IN,O
,the,DT,O
,dissolution,NN,O
,of,IN,O
,carbonate,NN,O
,rocks,NNS,O
,",",",",O
,although,IN,O
,similar,JJ,O
,features,NNS,O
,can,MD,O
,also,RB,O
,be,VB,O
,found,VBN,O
,in,IN,O
,volcanic,JJ,O
,and,CC,O
,permafrost,NN,O
,areas,NNS,O
,.,.,O
Sentence: 2,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,a,DT,O
,landscape,NN,O
,created,VBN,O
,by,IN,O
,the,DT,O
,dissolution,NN,O
,of,IN,O
,carbonate,NN,O
,rocks,NNS,O
,",",",",O
,although,IN,O
,similar,JJ,O
,features,NNS,O
,can,MD,O
,also,RB,O
,be,VB,O
,found,VBN,O
,in,IN,O
,volcanic,JJ,O
,and,CC,O
,permafrost,NN,O
,areas,NNS,O
,.,.,O
Sentence: 3,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,a,DT,O
,product,NN,O
,of,IN,O
,processes,NNS,O
,that,WDT,O
,operate,VBP,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 4,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,a,DT,O
,product,NN,O
,of,IN,O
,processes,NNS,O
,that,WDT,O
,operate,VBP,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 5,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,a,DT,O
,product,NN,O
,of,IN,O
,processes,NNS,O
,that,WDT,O
,operate,VBP,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
,",",",",O
,especially,RB,O
,when,WRB,O
,the,DT,O
,land,NN,O
,masses,NNS,O
,are,VBP,O
,uplifted,VBN,O
,above,IN,O
,sea,NN,O
,level,NN,O
,.,.,O
,on,IN,O
,continental,JJ,O
,land,NN,O
,masses,NNS,O
Sentence: 7,Karst,NNP,B-DEFINIENDUM
,is,VBZ,O
,terrain,NN,O
,with,IN,O
,distinctive,JJ,O
,hydrology,NN,O
,and,CC,O
,landforms,NNS,O
,arising,VBG,O
,from,IN,O
,the,DT,O
,combination,NN,O
,of,IN,O
,high,JJ,O
,rock,NN,O
,solubility,NN,O
,and,CC,O
,well,RB,O
